编号	大洲	战役	行省	城镇	开局派系	首府	世界X	世界Y	六边形X	六边形Y	区域KEY	行省KEY	派系KEY	英文名	分组KEY	大洲来源
107	露丝契亚	超凡帝国	夜森林路	斯兰泽克	索提戈教派		161.00	84.47	241	109	wh3_main_combi_region_xlanzec	wh3_main_combi_province_the_night_forest_road	wh2_dlc12_lzd_cult_of_sotek	Xlanzec	cai_region_hint_area_lustria	官方
108	露丝契亚	超凡帝国	失落溪谷	奥克斯欧	疫病氏族	是	122.25	144.63	183	187	wh3_main_combi_region_oyxl	wh3_main_combi_province_the_lost_valley	wh2_main_skv_clan_pestilens	Oyxl	cai_region_hint_area_lustria	官方
109	露丝契亚	超凡帝国	失落溪谷	时光哨塔	南方哨站		126.93	117.25	190	152	wh3_main_combi_region_the_sentinel_of_time	wh3_main_combi_province_the_lost_valley	wh2_main_lzd_southern_sentinels	The Sentinel of Time	cai_region_hint_area_lustria	官方
110	露丝契亚	超凡帝国	失落溪谷	萨巴图纳	疫病氏族		97.53	155.05	146	201	wh3_main_combi_region_subatuun	wh3_main_combi_province_the_lost_valley	wh2_main_skv_clan_pestilens	Subatuun	cai_region_hint_area_lustria	官方
111	露丝契亚	超凡帝国	帕花拉夏雨林	帕花科斯	蓝蝰蛇	是	61.46	331.69	92	430	wh3_main_combi_region_pahuax	wh3_main_combi_province_jungles_of_pahualaxa	wh2_main_grn_blue_vipers	Pahuax	cai_region_hint_area_lustria	官方
112	露丝契亚	超凡帝国	帕花拉夏雨林	月之碑	新世界殖民者		96.86	351.36	145	455	wh3_main_combi_region_monument_of_the_moon	wh3_main_combi_province_jungles_of_pahualaxa	wh2_main_emp_new_world_colonies	Monument of the Moon	cai_region_hint_area_lustria	官方
113	露丝契亚	超凡帝国	帕花拉夏雨林	沼泽镇	新世界殖民者		60.79	354.45	91	459	wh3_main_combi_region_swamp_town	wh3_main_combi_province_jungles_of_pahualaxa	wh2_main_emp_new_world_colonies	Swamp Town	cai_region_hint_area_lustria	官方
114	露丝契亚	超凡帝国	帕花拉夏雨林	索提戈圣殿	蓝蝰蛇		31.40	329.76	47	427	wh3_main_combi_region_shrine_of_sotek	wh3_main_combi_province_jungles_of_pahualaxa	wh2_main_grn_blue_vipers	Shrine of Sotek	cai_region_hint_area_lustria	官方
115	露丝契亚	超凡帝国	海龟群岛	巨龟岛	千噬	是	20.71	193.23	31	250	wh3_main_combi_region_great_turtle_isle	wh3_main_combi_province_the_turtle_isles	wh2_twa03_def_rakarth	Great Turtle Isle	cai_region_hint_area_lustria	官方
116	露丝契亚	超凡帝国	海龟群岛	幻象之所	瑟提哨站		47.43	210.97	71	273	wh3_main_combi_region_chamber_of_visions	wh3_main_combi_province_the_turtle_isles	wh2_main_lzd_sentinels_of_xeti	Chamber of Visions	cai_region_hint_area_lustria	官方
117	露丝契亚	超凡帝国	海龟群岛	瑟提哨站	瑟提哨站		51.44	187.83	77	243	wh3_main_combi_region_sentinels_of_xeti	wh3_main_combi_province_the_turtle_isles	wh2_main_lzd_sentinels_of_xeti	Sentinels of Xeti	cai_region_hint_area_lustria	官方
118	露丝契亚	超凡帝国	海龟群岛	金色金字塔	瑟提哨站		24.72	217.91	37	282	wh3_main_combi_region_golden_ziggurat	wh3_main_combi_province_the_turtle_isles	wh2_main_lzd_sentinels_of_xeti	Golden Ziggurat	cai_region_hint_area_lustria	官方
119	露丝契亚	超凡帝国	火山群岛	巨蛇烟岛			191.06	178.96	286	232	wh3_main_combi_region_fuming_serpent	wh3_main_combi_province_volcanic_islands		Fuming Serpent	cai_region_hint_area_lustria	官方
120	露丝契亚	超凡帝国	火山群岛	星辰塔	恶唾氏族	是	187.05	165.07	280	214	wh3_main_combi_region_the_star_tower	wh3_main_combi_province_volcanic_islands	wh2_main_skv_clan_spittel	The Star Tower	cai_region_hint_area_lustria	官方
121	露丝契亚	超凡帝国	猎头者丛林	古圣印迹	恶唾氏族		150.31	142.32	225	184	wh3_main_combi_region_marks_of_the_old_ones	wh3_main_combi_province_headhunters_jungle	wh2_main_skv_clan_spittel	Marks of the Old Ones	cai_region_hint_area_lustria	官方
122	露丝契亚	超凡帝国	猎头者丛林	大角鼠祭坛	恶唾氏族	是	163.67	159.29	245	206	wh3_main_combi_region_altar_of_the_horned_rat	wh3_main_combi_province_headhunters_jungle	wh2_main_skv_clan_spittel	Altar of the Horned Rat	cai_region_hint_area_lustria	官方
123	露丝契亚	超凡帝国	破碎岬	暮光要塞	暮光要塞	是	201.75	68.65	302	89	wh3_main_combi_region_citadel_of_dusk	wh3_main_combi_province_the_capes	wh2_main_hef_citadel_of_dusk	Citadel of Dusk	cai_region_hint_area_lustria	官方
124	露丝契亚	超凡帝国	破碎岬	暮色群峰	暮光要塞		187.72	81.38	281	105	wh3_main_combi_region_dusk_peaks	wh3_main_combi_province_the_capes	wh2_main_hef_citadel_of_dusk	Dusk Peaks	cai_region_hint_area_lustria	官方
125	露丝契亚	超凡帝国	神圣水池	神圣水池	维生池守望者	是	102.21	201.72	153	261	wh3_main_combi_region_the_sacred_pools	wh3_main_combi_province_the_sacred_pools	wh2_dlc16_lzd_wardens_of_the_living_pools	The Sacred Pools	cai_region_hint_area_lustria	官方
126	露丝契亚	超凡帝国	索提戈之脊	厉咒峰	索提戈之脊矮人		100.87	133.06	151	172	wh3_main_combi_region_thrice_cursed_peak	wh3_main_combi_province_spine_of_sotek	wh2_main_dwf_spine_of_sotek_dwarfs	Thrice-cursed Peak	cai_region_hint_area_lustria	官方
127	露丝契亚	超凡帝国	索提戈之脊	死胡子矿井	索提戈之脊矮人	是	80.16	167.39	120	217	wh3_main_combi_region_mine_of_the_bearded_skulls	wh3_main_combi_province_spine_of_sotek	wh2_main_dwf_spine_of_sotek_dwarfs	Mine of the Bearded Skulls	cai_region_hint_area_lustria	官方
128	露丝契亚	超凡帝国	绿雾雨林	未视石厅	血厅女巫团		39.41	256.48	59	332	wh3_main_combi_region_pillars_of_unseen_constellations	wh3_main_combi_province_jungles_of_green_mist	wh2_main_def_blood_hall_coven	Pillars of Unseen Constellations	cai_region_hint_area_lustria	官方
129	露丝契亚	超凡帝国	绿雾雨林	永恒之源	血厅女巫团		47.43	275.77	71	357	wh3_main_combi_region_wellsprings_of_eternity	wh3_main_combi_province_jungles_of_green_mist	wh2_main_def_blood_hall_coven	Wellsprings of Eternity	cai_region_hint_area_lustria	官方
130	露丝契亚	超凡帝国	绿雾雨林	鲜血之厅	诅咒剧团	是	17.37	256.10	26	332	wh3_main_combi_region_the_blood_hall	wh3_main_combi_province_jungles_of_green_mist	wh3_dlc27_sla_masque_of_slaanesh	The Blood Hall	cai_region_hint_area_lustria	官方
131	露丝契亚	超凡帝国	网道雨林	塔拉克斯	吸血鬼海岸哗变者		173.02	223.31	259	289	wh3_main_combi_region_tlax	wh3_main_combi_province_vampire_coast	wh2_dlc11_cst_vampire_coast_rebels	Tlax	cai_region_hint_area_lustria	官方
132	露丝契亚	超凡帝国	网道雨林	疱疹沼泽	吸血鬼海岸哗变者		199.07	218.30	298	283	wh3_main_combi_region_pox_marsh	wh3_main_combi_province_vampire_coast	wh2_dlc11_cst_vampire_coast_rebels	Pox Marsh	cai_region_hint_area_lustria	官方
133	露丝契亚	超凡帝国	网道雨林	觉醒地	觉醒者	是	184.38	202.10	276	262	wh3_main_combi_region_the_awakening	wh3_main_combi_province_vampire_coast	wh2_dlc11_cst_vampire_coast	The Awakening	cai_region_hint_area_lustria	官方
134	露丝契亚	超凡帝国	考琛平原	南方哨站	南方哨站	是	149.64	102.59	224	133	wh3_main_combi_region_the_southern_sentinels	wh3_main_combi_province_culchan_plains	wh2_main_lzd_southern_sentinels	The Southern Sentinels	cai_region_hint_area_lustria	官方
135	露丝契亚	超凡帝国	考琛平原	查佩尤托	南方哨站		167.68	126.12	251	163	wh3_main_combi_region_chupayotl	wh3_main_combi_province_culchan_plains	wh2_main_lzd_southern_sentinels	Chupayotl	cai_region_hint_area_lustria	官方
136	露丝契亚	超凡帝国	考琛平原	红树林海岸	南方哨站		175.69	106.06	263	137	wh3_main_combi_region_mangrove_coast	wh3_main_combi_province_culchan_plains	wh2_main_lzd_southern_sentinels	Mangrove Coast	cai_region_hint_area_lustria	官方
137	露丝契亚	超凡帝国	艾玛拉沼泽	入云哨塔	蓝蝰蛇		80.16	311.64	120	404	wh3_main_combi_region_the_high_sentinel	wh3_main_combi_province_aymara_swamps	wh2_main_grn_blue_vipers	The High Sentinel	cai_region_hint_area_lustria	官方
138	露丝契亚	超凡帝国	艾玛拉沼泽	悬浮金字塔	玉廷		69.48	303.92	104	394	wh3_main_combi_region_floating_pyramid	wh3_main_combi_province_aymara_swamps	wh3_dlc24_cth_the_celestial_court	Floating Pyramid	cai_region_hint_area_lustria	官方
139	露丝契亚	超凡帝国	艾玛拉沼泽	绯红骷髅岛	玉廷	是	41.42	313.95	62	407	wh3_main_combi_region_isle_of_the_crimson_skull	wh3_main_combi_province_aymara_swamps	wh3_dlc24_cth_the_celestial_court	Isle of the Crimson Skull	cai_region_hint_area_lustria	官方
140	露丝契亚	超凡帝国	蒄棘山谷	查库阿	万变使徒		116.24	210.59	174	273	wh3_main_combi_region_chaqua	wh3_main_combi_province_the_gwangee_valley	wh3_dlc20_tze_apostles_of_change	Chaqua	cai_region_hint_area_lustria	官方
141	露丝契亚	超凡帝国	蒄棘山谷	茱伊泰克斯	万变使徒		94.86	232.18	142	301	wh3_main_combi_region_quittax	wh3_main_combi_province_the_gwangee_valley	wh3_dlc20_tze_apostles_of_change	Qu'ittax	cai_region_hint_area_lustria	官方
142	露丝契亚	超凡帝国	蒄棘山谷	霍罗妥	血腥流浪者	是	66.14	238.74	99	309	wh3_main_combi_region_hualotal	wh3_main_combi_province_the_gwangee_valley	wh3_dlc26_kho_skulltaker	Hualotal	cai_region_hint_area_lustria	官方
143	露丝契亚	超凡帝国	蠕行丛林	伊扎塔之碑	螨疮氏族		70.14	271.91	105	352	wh3_main_combi_region_monument_of_izzatal	wh3_main_combi_province_the_creeping_jungle	wh2_dlc12_skv_clan_mange	Monument of Izzatal	cai_region_hint_area_lustria	官方
144	露丝契亚	超凡帝国	蠕行丛林	卡拉神殿	猎人元帅远征军		101.54	282.32	152	366	wh3_main_combi_region_temple_of_kara	wh3_main_combi_province_the_creeping_jungle	wh2_dlc13_emp_the_huntmarshals_expedition	Temple of Kara	cai_region_hint_area_lustria	官方
145	露丝契亚	超凡帝国	蠕行丛林	斯皮卡祖玛	螨疮氏族	是	58.12	291.97	87	378	wh3_main_combi_region_spektazuma	wh3_main_combi_province_the_creeping_jungle	wh2_dlc12_skv_clan_mange	Spektazuma	cai_region_hint_area_lustria	官方
146	露丝契亚	超凡帝国	露丝契亚地峡	失陷之门	极乐守卫		29.39	393.40	44	510	wh3_main_combi_region_fallen_gates	wh3_main_combi_province_isthmus_of_lustria	wh3_dlc20_sla_keepers_of_bliss	Fallen Gates	cai_region_hint_area_lustria	官方
147	露丝契亚	超凡帝国	露丝契亚地峡	赫斯欧塔	赫斯欧塔	是	46.09	377.59	69	489	wh3_main_combi_region_hexoatl	wh3_main_combi_province_isthmus_of_lustria	wh2_main_lzd_hexoatl	Hexoatl	cai_region_hint_area_lustria	官方
148	露丝契亚	超凡帝国	露丝契亚地峡	马库群峰	极乐守卫		35.41	352.91	53	457	wh3_main_combi_region_macu_peaks	wh3_main_combi_province_isthmus_of_lustria	wh3_dlc20_sla_keepers_of_bliss	Macu Peaks	cai_region_hint_area_lustria	官方
149	露丝契亚	超凡帝国	食人鱼沼泽	塔兰克斯拉	塔拉克斯兰		83.50	255.71	125	331	wh3_main_combi_region_tlanxla	wh3_main_combi_province_scorpion_coast	wh2_main_lzd_tlaxtlan	Tlanxla	cai_region_hint_area_lustria	官方
150	露丝契亚	超凡帝国	食人鱼沼泽	塔拉克斯兰	塔拉克斯兰	是	109.56	249.93	164	324	wh3_main_combi_region_tlaxtlan	wh3_main_combi_province_scorpion_coast	wh2_main_lzd_tlaxtlan	Tlaxtlan	cai_region_hint_area_lustria	官方
151	露丝契亚	超凡帝国	食人鱼沼泽	布雷贡	波尔德罗长征军		143.63	258.80	215	335	wh3_main_combi_region_temple_of_tlencan	wh3_main_combi_province_scorpion_coast	wh_main_brt_bordeleaux	Bregonne	cai_region_hint_area_lustria	官方
152	露丝契亚	超凡帝国	食人鱼沼泽	扎慧塔克	塔拉克斯兰		136.28	236.81	204	307	wh3_main_combi_region_xahutec	wh3_main_combi_province_scorpion_coast	wh2_main_lzd_tlaxtlan	Xahutec	cai_region_hint_area_lustria	官方
153	露丝契亚	超凡帝国	魁伟扎河	伊塔扎	伊塔扎	是	112.23	184.36	168	239	wh3_main_combi_region_itza	wh3_main_combi_province_river_qurveza	wh2_main_lzd_itza	Itza	cai_region_hint_area_lustria	官方
154	露丝契亚	超凡帝国	魁伟扎河	奎扎	苍白乳婴		124.25	168.93	186	219	wh3_main_combi_region_quetza	wh3_main_combi_province_river_qurveza	wh3_dlc20_nur_pallid_nurslings	Quetza	cai_region_hint_area_lustria	官方
155	露丝契亚	超凡帝国	魁伟扎河	阿斯霍托	苍白乳婴		88.85	183.97	133	238	wh3_main_combi_region_xhotl	wh3_main_combi_province_river_qurveza	wh3_dlc20_nur_pallid_nurslings	Xhotl	cai_region_hint_area_lustria	官方
156	露丝契亚	超凡帝国	黄铜沙漠	尘埃之门	卡特普离散者		93.52	120.34	140	156	wh3_main_combi_region_the_dust_gate	wh3_main_combi_province_copper_desert	wh3_main_tmb_deserters_of_khatep	The Dust Gate	cai_region_hint_area_lustria	官方
157	露丝契亚	超凡帝国	黄铜沙漠	黄金巨像	卡特普离散者	是	57.45	162.76	86	211	wh3_main_combi_region_the_golden_colossus	wh3_main_combi_province_copper_desert	wh3_main_tmb_deserters_of_khatep	The Golden Colossus	cai_region_hint_area_lustria	官方
158	露丝契亚	超凡帝国	黄铜沙漠	黄铜滩	卡特普离散者		75.49	133.06	113	172	wh3_main_combi_region_the_copper_landing	wh3_main_combi_province_copper_desert	wh3_main_tmb_deserters_of_khatep	The Copper Landing	cai_region_hint_area_lustria	官方
159	南地	超凡帝国	丛林之心	奥瑞恩营地	奥瑞恩箭团	是	428.21	167.00	641	216	wh3_main_combi_region_oreons_camp	wh3_main_combi_province_heart_of_the_jungle	wh2_main_wef_bowmen_of_oreon	Oreon's Camp	cai_region_hint_area_southlands	官方
160	南地	超凡帝国	东方殖民地	塔尔·艾拉逊	恐惧之岩私掠舰队		608.58	60.55	911	78	wh3_main_combi_region_tor_elasor	wh3_main_combi_province_eastern_colonies	wh3_main_cst_dread_rock_privateers	Tor Elasor		就近推定
161	南地	超凡帝国	东方殖民地	烈阳之塔	恐惧之岩私掠舰队	是	655.34	102.98	981	133	wh3_main_combi_region_tower_of_the_sun	wh3_main_combi_province_eastern_colonies	wh3_main_cst_dread_rock_privateers	Tower of the Sun		就近推定
162	南地	超凡帝国	东方殖民地	群星之塔	恐惧之岩私掠舰队		625.28	133.45	936	173	wh3_main_combi_region_tower_of_the_stars	wh3_main_combi_province_eastern_colonies	wh3_main_cst_dread_rock_privateers	Tower of the Stars		就近推定
163	南地	超凡帝国	中央雨林	寇斯欧塔	血手	是	427.54	130.36	640	169	wh3_main_combi_region_cuexotl	wh3_main_combi_province_central_jungles	wh_main_grn_orcs_of_the_bloody_hand	Cuexotl	cai_region_hint_area_southlands	官方
164	南地	超凡帝国	中央雨林	日之树林地	碎叶者部落		406.83	139.23	609	180	wh3_main_combi_region_sun_tree_glades	wh3_main_combi_province_central_jungles	wh2_dlc12_grn_leaf_cutterz_tribe	Sun-Tree Glades	cai_region_hint_area_southlands	官方
165	南地	超凡帝国	中央雨林	纳赫托	碎叶者部落		375.43	112.62	562	146	wh3_main_combi_region_nahuontl	wh3_main_combi_province_central_jungles	wh2_dlc12_grn_leaf_cutterz_tribe	Nahuontl	cai_region_hint_area_southlands	官方
166	南地	超凡帝国	亡者之地	努玛斯	努玛斯		434.89	229.49	651	297	wh3_main_combi_region_numas	wh3_main_combi_province_land_of_the_dead	wh2_dlc09_tmb_numas	Numas	cai_region_hint_area_southlands	官方
167	南地	超凡帝国	亡者之地	喀穆里	喀穆里	是	408.84	222.93	612	289	wh3_main_combi_region_khemri	wh3_main_combi_province_land_of_the_dead	wh2_dlc09_tmb_khemri	Khemri	cai_region_hint_area_southlands	官方
168	南地	超凡帝国	亡者之地	夸塔	努玛斯		452.93	213.67	678	277	wh3_main_combi_region_quatar	wh3_main_combi_province_land_of_the_dead	wh2_dlc09_tmb_numas	Quatar	cai_region_hint_area_southlands	官方
169	南地	超凡帝国	亡者之地	永生之泉	尼古拉契兄弟会		419.52	206.73	628	268	wh3_main_combi_region_springs_of_eternal_life	wh3_main_combi_province_land_of_the_dead	wh2_main_vmp_necrarch_brotherhood	Springs of Eternal Life	cai_region_hint_area_southlands	官方
170	南地	超凡帝国	刺客之地	巫法哈里发宫殿	纳迦什信徒	是	291.93	207.89	437	269	wh3_main_combi_region_wizard_caliphs_palace	wh3_main_combi_province_land_of_assassins	wh2_dlc09_tmb_followers_of_nagash	Wizard Caliph's Palace	cai_region_hint_area_southlands	官方
171	南地	超凡帝国	刺客之地	拉什喀	明焰骑士团		299.28	242.98	448	315	wh3_main_combi_region_lashiek	wh3_main_combi_province_land_of_assassins	wh2_main_brt_knights_of_the_flame	Lashiek	cai_region_hint_area_southlands	官方
172	南地	超凡帝国	刺客之地	术士群岛	纳迦什信徒		280.57	238.36	420	309	wh3_main_combi_region_sorcerers_islands	wh3_main_combi_province_land_of_assassins	wh2_dlc09_tmb_followers_of_nagash	Sorcerers' Islands	cai_region_hint_area_southlands	官方
173	南地	超凡帝国	南地世界边缘山脉	卡拉克·高原堡	铁眉远征军	是	455.60	170.47	682	221	wh3_main_combi_region_karak_zorn	wh3_main_combi_province_southlands_worlds_edge_mountains	wh2_dlc17_dwf_thorek_ironbrow	Karak Zorn	cai_region_hint_area_southlands	官方
174	南地	超凡帝国	南地世界边缘山脉	失落高原	巨蜘蛛		470.30	187.44	704	243	wh3_main_combi_region_lost_plateau	wh3_main_combi_province_southlands_worlds_edge_mountains	wh2_main_grn_arachnos	Lost Plateau	cai_region_hint_area_southlands	官方
175	南地	超凡帝国	南地世界边缘山脉	蛛网山	巨蜘蛛		476.31	206.34	713	267	wh3_main_combi_region_mount_arachnos	wh3_main_combi_province_southlands_worlds_edge_mountains	wh2_main_grn_arachnos	Mount Arachnos	cai_region_hint_area_southlands	官方
176	南地	超凡帝国	南部雨林	尤忒科	泽特兰		402.16	77.91	602	101	wh3_main_combi_region_yuatek	wh3_main_combi_province_southern_jungles	wh2_main_lzd_zlatan	Yuatek	cai_region_hint_area_southlands	官方
177	南地	超凡帝国	南部雨林	泽特兰	泽特兰	是	407.50	94.88	610	123	wh3_main_combi_region_zlatlan	wh3_main_combi_province_southern_jungles	wh2_main_lzd_zlatan	Zlatlan	cai_region_hint_area_southlands	官方
178	南地	超凡帝国	大幽冥河三角洲	纳迦什黑色金字塔	前哨站	是	386.79	218.69	579	283	wh3_main_combi_region_black_pyramid_of_nagash	wh3_main_combi_province_great_mortis_delta	wh2_dlc09_tmb_the_sentinels	Black Pyramid of Nagash	cai_region_hint_area_southlands	官方
179	南地	超凡帝国	恶魔之脊	卡拉格·红云山	巨蜘蛛	是	480.98	238.36	720	309	wh3_main_combi_region_karag_orrud	wh3_main_combi_province_devils_backbone	wh2_main_grn_arachnos	Karag Orrud	cai_region_hint_area_southlands	官方
180	南地	超凡帝国	恶魔之脊	岗岩丘			504.37	236.43	755	306	wh3_main_combi_region_granite_massif	wh3_main_combi_province_devils_backbone		Granite Massif	cai_region_hint_area_southlands	官方
181	南地	超凡帝国	恶魔之脊	玛哈拉克	白银血军		515.72	246.84	772	320	wh3_main_combi_region_mahrak	wh3_main_combi_province_devils_backbone	wh2_main_vmp_the_silver_host	Mahrak	cai_region_hint_area_southlands	官方
182	南地	超凡帝国	撕裂之地	卡拉巴德	拉卡封王朝		355.39	210.59	532	273	wh3_main_combi_region_el_kalabad	wh3_main_combi_province_the_cracked_land	wh2_dlc09_tmb_rakaph_dynasty	El-Kalabad	cai_region_hint_area_southlands	官方
183	南地	超凡帝国	撕裂之地	绝望之池	拉卡封王朝		349.38	234.88	523	304	wh3_main_combi_region_pools_of_despair	wh3_main_combi_province_the_cracked_land	wh2_dlc09_tmb_rakaph_dynasty	Pools of Despair	cai_region_hint_area_southlands	官方
184	南地	超凡帝国	撕裂之地	赞迪里	欧瑞格骑士		361.41	251.08	541	325	wh3_main_combi_region_zandri	wh3_main_combi_province_the_cracked_land	wh2_main_brt_knights_of_origo	Zandri	cai_region_hint_area_southlands	官方
185	南地	超凡帝国	撕裂之地	阿克汉黑塔	拉卡封王朝	是	367.42	226.79	550	294	wh3_main_combi_region_black_tower_of_arkhan	wh3_main_combi_province_the_cracked_land	wh2_dlc09_tmb_rakaph_dynasty	Black Tower of Arkhan	cai_region_hint_area_southlands	官方
186	南地	超凡帝国	活死人环坑	末日林地	白银血军		540.44	217.91	809	282	wh3_main_combi_region_doom_glade	wh3_main_combi_province_crater_of_the_waking_dead	wh2_main_vmp_the_silver_host	Doom Glade	cai_region_hint_area_southlands	官方
